labels,text,emotion,probs_synonyms
anger,When I lost my driving license because I had been driving while under the influence of alcool. ,shame,"[0.8523362278938293, 0.9269752502441406, 0.7201699018478394, 0.8880038261413574, 0.7898162603378296, 0.9393100738525391]"
sadness,My mother's death. ,sadness,"[0.9813387393951416, 0.9601712226867676, 0.9835207462310791, 0.9807087182998657, 0.9486653804779053, 0.9257689118385315]"
disgust,When I entered the dissecting room for the first time. I think I felt disgusted mainly because of the bad smell of formaline. ,disgust,"[0.9934279322624207, 0.9617443084716797, 0.32284632325172424, 0.92948317527771, 0.9918999671936035, 0.9882092475891113]"
shame,I think I felt ashamed for the first time when I entered a night club. ,shame,"[0.9949824213981628, 0.9858546853065491, 0.990649402141571, 0.9631470441818237, 0.9455514550209045, 0.954982340335846]"
guilt,"During a ski tour with a friend, we two had drunk too much. When we went down the slope on ski, I lost my friend who had lost his way. I thought that something must have happened to him (he finally arrived but after a very long time). ",fear,"[0.9522817730903625, 0.9592841267585754, 0.9647971391677856, 0.805119514465332, 0.9563704133033752, 0.9636614322662354]"
joy,My father stayed abroad for one year. He does not like to write letters because he makes ortographic mistakes. I never had a good relation to him. He wrote me a letter in which he said that he loved me. ,anger,"[0.017464080825448036, 0.056490667164325714, 0.02244441770017147, 0.012048187665641308, 0.035113267600536346, 0.021491143852472305]"
fear,"When I was a child, I was always afraid of my father. Just when he looked at me, I felt frightened. ",fear,"[0.9966110587120056, 0.9647255539894104, 0.9763721823692322, 0.9936026930809021, 0.9810512065887451, 0.9937270879745483]"
anger,A colleague asked me to study with her. I could not explain things as perfectly as she had expected. So she reacted in an aggressive manner. ,sadness,"[0.9690089821815491, 0.9325636625289917, 0.6948866248130798, 0.7468141913414001, 0.6907017827033997, 0.9646172523498535]"
sadness,"During the Christmas holidays, I went to see my parents and stayed with them for two weeks. After two or three days, we had the same conflicts we had had ten years before when I had lived with them. They were glad when I left. ",sadness,"[0.11396990716457367, 0.9150639176368713, 0.13059024512767792, 0.013400501571595669, 0.4530290961265564, 0.2635844051837921]"
disgust,"Old man in hospital, hollow-cheeked, only one half of his nose and glass-eye, rattling breath. ",fear,"[0.6855559945106506, 0.6024472117424011, 0.5787858963012695, 0.7637674808502197, 0.7577588558197021, 0.7835876941680908]"
shame,When my father came into the bathroom and saw me standing there naked. ,shame,"[0.9270339608192444, 0.9400230646133423, 0.9481127858161926, 0.8801213502883911, 0.9190364480018616, 0.784160315990448]"
guilt,"I live with my boyfriend, we have a close relationship, I fell in love with another man. ",anger,"[0.3796481490135193, 0.3322729170322418, 0.09932553023099899, 0.13884536921977997, 0.160683736205101, 0.45669326186180115]"
joy,When I met my girlfriend - I had not counted on that. ,guilt,"[0.35466432571411133, 0.2052958905696869, 0.5415182113647461, 0.33784720301628113, 0.6313630938529968, 0.2993576228618622]"
fear,"One night I had a feeling that somebody was stealing my car, but I was too frightened to go and see. ",fear,"[0.9952907562255859, 0.9687947630882263, 0.9818471074104309, 0.9937368631362915, 0.9778169989585876, 0.9938662648200989]"
anger,When we rearranged furniture in our flat and got stuck in a chair. ,fear,"[0.6883741021156311, 0.9467482566833496, 0.48980873823165894, 0.6584335565567017, 0.5681936740875244, 0.9451295733451843]"
sadness,A person died (not really a friend). ,sadness,"[0.8901999592781067, 0.8779217600822449, 0.83735191822052, 0.8561457991600037, 0.8128279447555542, 0.6254370212554932]"
disgust,"Several weeks ago, I had problems with friends, I felt disgusted by a friend. ",sadness,"[0.9929131865501404, 0.9686543941497803, 0.842701256275177, 0.9335201382637024, 0.9880901575088501, 0.9858484268188477]"
shame,"When I was a child, I thought that I had to be ashamed when asking and doing certain forbidden things. ",shame,"[0.9365966320037842, 0.9320101737976074, 0.9358663558959961, 0.891355574131012, 0.8768562078475952, 0.8581438660621643]"
guilt,When quarreling with friends. ,sadness,"[0.20861034095287323, 0.885567843914032, 0.48063933849334717, 0.6790435910224915, 0.8939762115478516, 0.02940874919295311]"
joy,"In Southern Tyrol, I was gathering apples, it was a fine day, I was not thinking about anything, I felt an overwhelming joy. ",joy,"[0.9936099648475647, 0.4416014552116394, 0.986257016658783, 0.9196062684059143, 0.9899452328681946, 0.7951027154922485]"
fear,"My girlfriend and I slept in a lonely hut (we had drunk alcool). Suddenly some soil fell on us, then some water. Although we tried hard, we could not find out the cause. ",fear,"[0.8112183809280396, 0.8664683103561401, 0.7943091988563538, 0.836261510848999, 0.8201665878295898, 0.9282665252685547]"
anger,I helped my little sister ( years) learning mathematics. Obviously she did not want to understand what I explained and started to cry. I grew angry. ,anger,"[0.9951099753379822, 0.8076551556587219, 0.9194310903549194, 0.7623128294944763, 0.8405179381370544, 0.9789336919784546]"
sadness,When my girlfriend told me that she wanted to leave me. ,sadness,"[0.9484062790870667, 0.974894106388092, 0.8808925747871399, 0.9251289963722229, 0.9168702363967896, 0.817215085029602]"
disgust,"On a trip I passed by a cellulose factory. It was a fine day, beautiful landscape I observed this factory with disgust. ",disgust,"[0.9968963861465454, 0.9914140701293945, 0.975662887096405, 0.940456748008728, 0.9952027797698975, 0.99542635679245]"
shame,"When I went to a sauna with my father for the first time (I was ). When I entered the sauna naked, I felt ashamed for a short time. ",shame,"[0.9894764423370361, 0.9738113880157471, 0.9886309504508972, 0.9143393039703369, 0.9130523204803467, 0.8885746598243713]"
guilt,"I came home from a discotheque at half past four in the morning, although I had promised my parents to come home at midnight. From a. m. I felt guilty towards my parents. ",guilt,"[0.9955085515975952, 0.9833335280418396, 0.9735791087150574, 0.8467046022415161, 0.8506021499633789, 0.9732455611228943]"
joy,A friend I had missed very much came to see me unexpectedly. ,joy,"[0.9439314007759094, 0.35730820894241333, 0.963721513748169, 0.8314355611801147, 0.9664981961250305, 0.5503960847854614]"
fear,On my way through lonely streets I met with a huge stray dog. It stopped at some distance and looked at me. I tried to ignore it but I was very frightened. ,fear,"[0.9962814450263977, 0.9702935814857483, 0.9766901135444641, 0.9953851103782654, 0.9561213254928589, 0.9936299920082092]"
anger,"A friend of mine tried to persuade me to go at her place to act as a model because she felt too tired. It was a quarter of an hour before the appointed time, I had just lied down and did not want to go because it was too late anyway. She said that I only was talking about looking for work, but if it was possible I would not accept it. I was angry about this unjust judgment. ",anger,"[0.9973502159118652, 0.36097487807273865, 0.8906591534614563, 0.9230391979217529, 0.9138360023498535, 0.9669615626335144]"
sadness,"After I had lived with my boyfriend in a foreign country for half a year, I saw that it was impossible for me to stay with him (for economic reasons). We separated although I loved him. ",sadness,"[0.9385469555854797, 0.8248072266578674, 0.8710819482803345, 0.8882614374160767, 0.7707395553588867, 0.5384526252746582]"
disgust,In a certain book I read about cruelties and violence in prison and souteneur circles I felt especially disgusted when I read detailed descriptions of physical and mental torture of less powerful people. ,disgust,"[0.9979928731918335, 0.9852719306945801, 0.2693276107311249, 0.9777227640151978, 0.9930574893951416, 0.9952307343482971]"
shame,"When I talked to a psychotherapist for the first time, I started to cry first I talked to him but he did not say anything and after a while I was crying. ",sadness,"[0.41652339696884155, 0.5082336068153381, 0.4534969925880432, 0.25503775477409363, 0.3699266314506531, 0.46575647592544556]"
guilt,"I went shopping with my mother and sister ( years old). Mother always told my sister what she should buy. Instead of assisting my sister in defending herself against mother's interference, I just behaved aggressively towards my sister. ",anger,"[0.6970934867858887, 0.9285317063331604, 0.7917574048042297, 0.822750985622406, 0.9403927326202393, 0.40639927983283997]"
joy,"When I worked as an ""au-pair-girl"" in London, I received a call from a good friend who told me that she was in London too and wanted to see me. I was very glad - after that call and especially when I saw her. ",joy,"[0.9927030801773071, 0.6818220019340515, 0.9947379231452942, 0.8577942848205566, 0.9965156316757202, 0.8529173135757446]"
fear,It was on St. Claus Day when I was five years old. St. Claus and his Devil Servant came to see me. St. Claus' Devil Servant rattled with his chain and bowled terribly. I was so frightened that my parents had to ask him to leave. ,fear,"[0.9943342208862305, 0.9913496971130371, 0.9887252449989319, 0.9952127933502197, 0.9909370541572571, 0.9904549717903137]"
anger,A friend called me and told me that she wanted to come and see me. She lived in a village at km distance fom my home town. Next morning I expected her but she didn't arrive. As I got impatient I called her but her parents told me that she had gone skiing. I was very angry because I had cancelled an appointment to be able to see her. ,anger,"[0.9964656829833984, 0.9756277203559875, 0.967341423034668, 0.9689556956291199, 0.9596207141876221, 0.9946448802947998]"
sadness,When I was eight years old my father was run over by a car. When I saw his body I was sad beyond words. ,sadness,"[0.9976576566696167, 0.9948561191558838, 0.9948775172233582, 0.9961001873016357, 0.9536960124969482, 0.9371225237846375]"
disgust,A friend prepared a soup with chicken heads and invited me to eat it. I saw the eyes staring at me and the tongues hanging out of the bills. I was so disgusted that I felt nausea and had to leave the room. ,disgust,"[0.9975130558013916, 0.9949445128440857, 0.2862825095653534, 0.9826356172561646, 0.9963635802268982, 0.9965973496437073]"
shame,"When I had to go to the gynecologist and to sit on that special chair, I felt ashamed. ",shame,"[0.9962041974067688, 0.9920411705970764, 0.9953923225402832, 0.9761027097702026, 0.9599496126174927, 0.9397963285446167]"
guilt,"After a terrible quarrel with my family, I withdrew in my room. I felt guilty because I had caused this scene by my aggressive behavior. ",guilt,"[0.9984315037727356, 0.9923492670059204, 0.9921736717224121, 0.9018778800964355, 0.9347382187843323, 0.9932218790054321]"
joy,I had the unexpected possibility to see a friend I like very much. ,joy,"[0.9405266642570496, 0.36084210872650146, 0.9876601099967957, 0.7224479913711548, 0.9680753350257874, 0.6026679873466492]"
fear,I was afraid of a certain examination although I was relatively well prepared. ,fear,"[0.998120129108429, 0.8436009883880615, 0.992607831954956, 0.9501174688339233, 0.9833856225013733, 0.992988646030426]"
anger,"At the hairdresser's, I got two stains of dyestuff on my new trousers. These stains are not removable, so I cannot put on the trousers again. ",sadness,"[0.8349453806877136, 0.9722317457199097, 0.6596252918243408, 0.8393456339836121, 0.7210515141487122, 0.9627110958099365]"
